date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:27	62055/62055	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:24%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/girl-img.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/girl-img.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:27	4533/4533	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:20%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-3.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-3.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:27	2230/2230	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:22%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-4.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-4.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:27	5085/5085	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:22%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-5.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-5.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:28	3331/3331	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:22%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-6.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-6.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:28	2965/2965	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:14%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-details/company-logo.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-details/company-logo.png	(from https://ocsolutions.co.in/html/jobportal/new/job-details.html)
11:34:29	45469/45469	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:07%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate1.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate1.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html)
11:34:29	100362/100362	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:26%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/interview-banner.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/interview-banner.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:30	33445/33445	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:08%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate2.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate2.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html)
11:34:30	25111/25111	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:09%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate3.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate3.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html)
11:34:31	31658/31658	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:09%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate4.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate4.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html)
11:34:31	33318/33318	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:09%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate5.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate5.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html)
11:34:31	28853/28853	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:10%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate6.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-listing/candidate6.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html)
11:34:32	26527/26527	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:03%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-deails/profile.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-deails/profile.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-details.html)
11:34:33	114184/114184	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:33%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/profile/profile.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/profile/profile.png	(from https://ocsolutions.co.in/html/jobportal/new/profile.html)
11:34:33	232389/232389	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:03%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-deails/banner.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-deails/banner.png	(from https://ocsolutions.co.in/html/jobportal/new/candidate-details.html)
11:34:33	1315/1315	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:40%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/error/bulb.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/error/bulb.png	(from https://ocsolutions.co.in/html/jobportal/new/not-found.html)
11:34:34	17697/17697	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:44%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/error/vector.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/error/vector.png	(from https://ocsolutions.co.in/html/jobportal/new/not-found.html)
11:34:35	142159/142159	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:45%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/faq/still-right.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/faq/still-right.png	(from https://ocsolutions.co.in/html/jobportal/new/faq.html)
